[34m[1mwandb[0m: Detected [agents] in use.
[34m[1mwandb[0m: Use W&B Weave for improved LLM call tracing. Weave is installed but not imported. Add `import weave` to the top of your script.
[34m[1mwandb[0m: For more information, check out the docs at: https://weave-docs.wandb.ai
Weights & Biases initialized.
Game: 0144/500 | Score: 02 | Steps: 038 | Epsilon: 0.010
Game: 0145/500 | Score: 11 | Steps: 158 | Epsilon: 0.010
Game: 0146/500 | Score: 06 | Steps: 143 | Epsilon: 0.010
Game: 0147/500 | Score: 11 | Steps: 222 | Epsilon: 0.010
Game: 0148/500 | Score: 11 | Steps: 255 | Epsilon: 0.010
Game: 0149/500 | Score: 01 | Steps: 043 | Epsilon: 0.010
Game: 0150/500 | Score: 07 | Steps: 157 | Epsilon: 0.010
Game: 0151/500 | Score: 38 | Steps: 766 | Epsilon: 0.010
Score: 38.
Game: 0152/500 | Score: 14 | Steps: 174 | Epsilon: 0.010
Game: 0153/500 | Score: 05 | Steps: 115 | Epsilon: 0.010
Game: 0154/500 | Score: 04 | Steps: 068 | Epsilon: 0.010
Game: 0155/500 | Score: 06 | Steps: 122 | Epsilon: 0.010
Game: 0156/500 | Score: 05 | Steps: 113 | Epsilon: 0.010
Game: 0157/500 | Score: 09 | Steps: 123 | Epsilon: 0.010
Game: 0158/500 | Score: 13 | Steps: 315 | Epsilon: 0.010
Game: 0159/500 | Score: 23 | Steps: 210 | Epsilon: 0.010
Game: 0160/500 | Score: 12 | Steps: 369 | Epsilon: 0.010
Game: 0161/500 | Score: 01 | Steps: 032 | Epsilon: 0.010
Game: 0162/500 | Score: 20 | Steps: 419 | Epsilon: 0.010
Game: 0163/500 | Score: 07 | Steps: 190 | Epsilon: 0.010
Game: 0164/500 | Score: 26 | Steps: 369 | Epsilon: 0.010
Game: 0165/500 | Score: 20 | Steps: 295 | Epsilon: 0.010
Game: 0166/500 | Score: 01 | Steps: 040 | Epsilon: 0.010
Game: 0167/500 | Score: 05 | Steps: 083 | Epsilon: 0.010
Game: 0168/500 | Score: 06 | Steps: 152 | Epsilon: 0.010
Game: 0169/500 | Score: 04 | Steps: 037 | Epsilon: 0.010
Game: 0170/500 | Score: 06 | Steps: 257 | Epsilon: 0.010
Game: 0171/500 | Score: 12 | Steps: 110 | Epsilon: 0.010
Game: 0172/500 | Score: 04 | Steps: 069 | Epsilon: 0.010
Game: 0173/500 | Score: 03 | Steps: 049 | Epsilon: 0.010
Game: 0174/500 | Score: 14 | Steps: 315 | Epsilon: 0.010
Game: 0175/500 | Score: 06 | Steps: 068 | Epsilon: 0.010
Game: 0176/500 | Score: 01 | Steps: 019 | Epsilon: 0.010
Game: 0177/500 | Score: 03 | Steps: 172 | Epsilon: 0.010
Game: 0178/500 | Score: 16 | Steps: 178 | Epsilon: 0.010
Game: 0179/500 | Score: 01 | Steps: 051 | Epsilon: 0.010
Game: 0180/500 | Score: 00 | Steps: 013 | Epsilon: 0.010
Game: 0181/500 | Score: 12 | Steps: 175 | Epsilon: 0.010
Game: 0182/500 | Score: 06 | Steps: 157 | Epsilon: 0.010
Game: 0183/500 | Score: 06 | Steps: 087 | Epsilon: 0.010
Game: 0184/500 | Score: 00 | Steps: 003 | Epsilon: 0.010
Game: 0185/500 | Score: 05 | Steps: 093 | Epsilon: 0.010
Game: 0186/500 | Score: 04 | Steps: 058 | Epsilon: 0.010
Game: 0187/500 | Score: 08 | Steps: 080 | Epsilon: 0.010
Game: 0188/500 | Score: 24 | Steps: 284 | Epsilon: 0.010
Game: 0189/500 | Score: 00 | Steps: 026 | Epsilon: 0.010
Game: 0190/500 | Score: 06 | Steps: 075 | Epsilon: 0.010
Game: 0191/500 | Score: 11 | Steps: 140 | Epsilon: 0.010
Game: 0192/500 | Score: 12 | Steps: 187 | Epsilon: 0.010
Game: 0193/500 | Score: 21 | Steps: 289 | Epsilon: 0.010
Game: 0194/500 | Score: 01 | Steps: 035 | Epsilon: 0.010
Game: 0195/500 | Score: 12 | Steps: 237 | Epsilon: 0.010
Game: 0196/500 | Score: 04 | Steps: 061 | Epsilon: 0.010
Game: 0197/500 | Score: 11 | Steps: 253 | Epsilon: 0.010
Game: 0198/500 | Score: 22 | Steps: 326 | Epsilon: 0.010
Game: 0199/500 | Score: 04 | Steps: 072 | Epsilon: 0.010
Game: 0200/500 | Score: 06 | Steps: 070 | Epsilon: 0.010
Game: 0201/500 | Score: 04 | Steps: 050 | Epsilon: 0.010
Game: 0202/500 | Score: 01 | Steps: 024 | Epsilon: 0.010
Game: 0203/500 | Score: 03 | Steps: 034 | Epsilon: 0.010
Game: 0204/500 | Score: 06 | Steps: 164 | Epsilon: 0.010
Game: 0205/500 | Score: 01 | Steps: 071 | Epsilon: 0.010
Game: 0206/500 | Score: 14 | Steps: 172 | Epsilon: 0.010
Game: 0207/500 | Score: 00 | Steps: 025 | Epsilon: 0.010
Game: 0208/500 | Score: 20 | Steps: 333 | Epsilon: 0.010
Game: 0209/500 | Score: 27 | Steps: 580 | Epsilon: 0.010
Game: 0210/500 | Score: 25 | Steps: 335 | Epsilon: 0.010
Game: 0211/500 | Score: 11 | Steps: 209 | Epsilon: 0.010
Game: 0212/500 | Score: 10 | Steps: 121 | Epsilon: 0.010
Game: 0213/500 | Score: 03 | Steps: 053 | Epsilon: 0.010
Game: 0214/500 | Score: 04 | Steps: 133 | Epsilon: 0.010
Game: 0215/500 | Score: 03 | Steps: 092 | Epsilon: 0.010
Game: 0216/500 | Score: 21 | Steps: 332 | Epsilon: 0.010
Game: 0217/500 | Score: 02 | Steps: 043 | Epsilon: 0.010
Game: 0218/500 | Score: 01 | Steps: 019 | Epsilon: 0.010
Game: 0219/500 | Score: 21 | Steps: 261 | Epsilon: 0.010
Game: 0220/500 | Score: 35 | Steps: 489 | Epsilon: 0.010
Game: 0221/500 | Score: 03 | Steps: 048 | Epsilon: 0.010
Game: 0222/500 | Score: 18 | Steps: 343 | Epsilon: 0.010
Game: 0223/500 | Score: 00 | Steps: 049 | Epsilon: 0.010
Game: 0224/500 | Score: 07 | Steps: 051 | Epsilon: 0.010
Game: 0225/500 | Score: 09 | Steps: 159 | Epsilon: 0.010
Game: 0226/500 | Score: 14 | Steps: 191 | Epsilon: 0.010
Game: 0227/500 | Score: 15 | Steps: 288 | Epsilon: 0.010
Game: 0228/500 | Score: 13 | Steps: 134 | Epsilon: 0.010
Game: 0229/500 | Score: 07 | Steps: 104 | Epsilon: 0.010
Game: 0230/500 | Score: 01 | Steps: 035 | Epsilon: 0.010
